Nos,Ratings,Full_review
0,5,This is the best laptop in this range.I recieved late delivery due to big billion sale but the waiting was worth it. I played The Witcher 3 and Far Cry 4 in ULTRA graphics and it was running super smooth without any lag. So for gaming its a Beast no doubt. After 2 days I was getting charging issue and the charging was very slow so I contacted HP support via whatsapp and they told me to update the BIOS and after updating it was back to super fast charging and even the system was running faster...
1,5,Good product as used of now.... Everything is good and also SSD slot is given for upgradation.... Only keys of Keyboard are not looking as reliable as other basic HP laptops....it has been a month now... I will use it for three months again and will update my review.....
2,5,AWESOME LAPTOP. It supports many high spec games like gta 5. Super quality. I liked it very much
3,4,"For that price... it's exceptionally good. Played Far Cry 4 at Ultra Graphics 1080p.. was super smooth. So was GTA V, Just Cause 4. So you can do pretty decent gaming. General PC performance is good. Photoshop 2020 (June) works perfectly and also other Adobe products. Display is super cool too. So yeah, a good system overall for that price."
4,4,"RAM upgrade is must do because the useable RAM is only 6GB, Ryzen 5 3550H is a great processor however eats up 2GB RAM in system, Due to that Heavy games like GTA 5 stutter, The FPS while gaming is good however stuttering happens when games doesn’t get enough RAM, Due to which I have to spend another 3.5K to put a 2nd 8GB ram stick. Rest all Is good Display is crisp Battey is good for gaming laptop anyway to play games chargers needs to be plugged in, Although the 5400 RPM HDD is quite slow m..."
5,5,It's good gameing laptop in this price Display is good battery backup is good And I like keyboard 😁👌
6,4,Best laptop in this price range... Believe me if you are willing to buy this laptop don't hesitate just go Nd buy it !! Booting takes 22 sec... If you want more faster then I will recommend you to go for ssd variant... Speed of HDD is not that slow people are reviewing above🙄... Nd wait wait wait people are also saying above ram is the problem only given 6 GB so every device have some pre installed software so non of the brand will provide u 8 out of 8 gbs 🤦♂️...there is no problem with the...
7,4,"The AMD APU is a disappointment. If you guys don't know, the amd integrated graphics will reserve 2gb of your ram so you are left with 6gb instead of 8. HP has also locked their bios so we can't change vram settings either. It is what it is, I'll recommend that you should go for an Intel cpu if you can bcz amd might be cheaper but they will eat your hardware even though you are not using it at all so it's a waste of 1/4 of ram you paid for. Other than that Gtx1650 is a beast and ryzen 5 will ..."
8,5,"Its an absolute beast if u know what are the necessary steps to follow after completing the installation of your laptop...  Make sure you update all the drivers and specifically windows bios and nvidia drivers, because it enhances the performance very much , i myself have felt the same ...Just download a software called driver booster which is free and a great soft indeed it scans for all available driver updates and installs them , also it has a game turbo power option which releases some ra..."
9,4,Okay so ive been using this laptop since a few days/weeks now and i really like it 1. The display is good 2. The Laptop runs smoothly 3. Upgradable which is a big pro 4. Great sound quality 5. beautiful build 6. Games work nicely Cons 1. A little bit slow but that can be upgraded using a ram and ssd 2. I play fortnite and rocket league on it and they run smoothly but sometimes theres a frame drop which again can be solved by ssd and ram  Overall i would really say this is a great laptop
10,5,This is my 2nd laptop and ti be true i like it preety much. The booting speed is good and can be more if you install ssd in it.  Overall look wise it's awesome 👌😍.  I played Apex legend in low graphic settings and it runs smoothly  The lappy can become a beast if you upgrade the ssd and ram ✌️ An additional of around 5k to 9k can be done to reach it's maximum potential. I'm happy with it 😊
11,3,"U'll need some upgrades  Ram needs to be extended, out of 8 gb some ram is always dedicated as shared memory for GPU, that is vega 8 (Not the main dedicated gpu).  Better to upgrade with a sdd at least for the os drive.  Not a beast for gaming but if upgraded can provide decent gaming experience. Don't expect good gaming or intense gpu performance on battery at this budget. Batteries for gaming laptop are not ment to provide you backup for long.  Got it at 44k, I think can't buy any thing bet..."
12,4,"The true potential of this thing is unleashed when it's plugged in. Don't even bother to game on this thing on battery only. Battery backup about 5 Hrs on normal uses like browsing, video streaming etc with both wifi and Bluetooth ON.  2GB out of the 8GB RAM is reserved for Vega 8 which is a real bummer. So another RAM of 8GB 2400 MHz is recommended at slot 2.  Pair it with an SSD ( ofcourse nvme recommend ) and feel the difference.  Be sure to download GeForce Experience.  Update all the dr..."
13,4,"For the peoples who R going to buy R they buyed this Product. U will Face all this Problems 1) Performance of the laptop is so slow 2) Booting time takes 40 sec coz of HDD 3)When u will play Heavy games like Gta 5 of pubg it will lag like A hell 4) Apps opening and closing time is soo slow and Feels like the laptop is lagging and performing Very slow. 5) Whenever u will game on It, The laptop will automatically Get lock and Restart.  Okay Now SolUTion For all of This -  1) Update ur Laptop to..."
14,5,This review is after using this laptop for 6 months. Display:10/10 Performance:10/10 Battery:8/10 No heating issues No fan noise while normal usage Suggestions: 1.try to add extra 8 gb ram.because amd integrated graphic card uses 2gb of ram and available ram is only 6gb. 2.try to add 500gb ssd and move your os to ssd. Then you laptop enters into beast mode  Overall great laptop with amazing specs. Blindly go for it.
15,5,"This is an initial impression review. The battery life, display and design are above par. Gaming experience is terrific with a good, strong card inside. The issue might be the 2GB RAM reseved by RX Vega which is the inbuilt mobile gpu of Ryzen. All in all, a good package and a great value for money. My suggestion would be to install an ssd and an additional 8 GB RAM in the near future to get the most out of the product. Note : Disappointed by flipkart for not putting in bubble wrap in the pa..."
